file,relative_path,ext,knot_id,closure_error,length_series_units,length_m,writhe,crossing_est,sigma,Hvortex_X(b0=3),mass_fluid_kg,mass_energy_kg
knot.5_1u.short,5_1\knot.5_1u.short,.short,5_1u,0.037394863798035326,54.17434519080874,54.17434519080874,7.702478760135074,9,1.0,6.0,3.19995685712964e-36,2.67385858254526e-06
knot.5_2.short,5_2\knot.5_2.short,.short,5_2,0.04506543542084057,27.02456281582526,27.02456281582526,4.8128270602637215,5,1.0,2.0,5.3209340318341034e-37,4.446130295937417e-07
knot.5_2d.short,5_2\knot.5_2d.short,.short,5_2d,0.05800426825205922,34.78338241883742,34.78338241883742,-4.6163632350699055,6,-1.0,-3.0,-1.02728812589511e-36,-8.583938142951637e-07
knot.5_2r.short,5_2\knot.5_2r.short,.short,5_2r,0.05182396768218374,31.080192402406524,31.080192402406524,4.500461485365269,6,1.0,3.0,9.179185687311542e-37,7.670054793429434e-07
knot.6_1.short,6_1\knot.6_1.short,.short,6_1,0.05491355016597382,32.93060547577784,32.93060547577784,1.4231490365752535,6,1.0,3.0,9.725684401952348e-37,8.126704787080606e-07
knot.6_2.short,6_2\knot.6_2.short,.short,6_2,0.052197753373454656,31.30127680771721,31.30127680771721,2.40428393820488,6,1.0,3.0,9.244480482872668e-37,7.72461460698369e-07
knot.6_2d.short,6_2\knot.6_2d.short,.short,6_2d,0.08151946764473668,48.89011587846386,48.89011587846386,3.81905635714649,11,1.0,8.0,3.8504390716092655e-36,3.2173963643450883e-06
knot.6_2p.short,6_2\knot.6_2p.short,.short,6_2p,0.06083027967422461,36.47431734238162,36.47431734238162,3.180584243932997,7,1.0,4.0,1.43630398580469e-36,1.2001642244116815e-06
knot.6_3d.short,6_3\knot.6_3d.short,.short,6_3d,0.07944131426464694,47.640642881542945,47.640642881542945,-0.029026846826872437,14,-1.0,-11.0,-5.1590471917691135e-36,-4.310858935717524e-06
knot.6_3z.short,6_3\knot.6_3z.short,.short,6_3z,0.060643408276263105,36.36612897412104,36.36612897412104,-0.030704281754447307,10,-1.0,-7.0,-2.506076457336982e-36,-2.0940576211317457e-06
knot.7_1.short,7_1\knot.7_1.short,.short,7_1,0.020473781770977674,32.576307644319826,32.576307644319826,8.958062254092722,7,1.0,4.0,1.2828062023238733e-36,1.0719026933702872e-06
knot.7_1p.short,7_1\knot.7_1p.short,.short,7_1p,0.07912778062590968,47.44607673403105,47.44607673403105,9.417268218038219,7,1.0,4.0,1.868355437174969e-36,1.5611829921408848e-06
